,Director,Actor_list
2754,Noel Black,Janelle Brady
2755,Richard W. HainesLloyd Kaufman,Andree Maranda
2756,Michael HerzLloyd Kaufman,Ron Fazio
2757,Michael HerzLloyd Kaufman,Ron Fazio
2758,Michael HerzLloyd Kaufman,Jason Lively
2759,Fred Dekker,Danny Glover
2760,Stephen Hopkins,Arnold Schwarzenegger
2761,Paul Michael Glaser,Jeff Bridges
2762,John Carpenter,Joe Morton
2763,John Sayles,James Caan
2764,Graham Baker,Mel Gibson
2765,George Miller,Mel Gibson
2766,George Miller,Mel Gibson
2767,George MillerGeorge Ogilvie,Mel Gibson
2768,John Badham,Mickey Rourke
2769,Alan Parker,Mickey Rourke
2770,Adrian Lyne,Drew Barrymore
2771,Mark L. Lester,Brian Krause
2772,Mick Garris,Carl Weathers
2773,Craig R. Baxley,Whoopi Goldberg
2774,Darrell Roodt,Sally Field
2775,Michael Hoffman,Sissy Spacek
2776,Richard Pearce,Whoopi Goldberg
2777,Robert Mulligan,Whoopi Goldberg
2778,Hugh Wilson,Whoopi Goldberg
2779,Tom Holland,Nicolas Cage
2780,Dominic Sena,Alessandro Nivola
2781,Kenneth Branagh,Ralph Fiennes
2782,István Szabó,Mel Gibson
2783,Franco Zeffirelli,Jane Fonda
2784,Hal Ashby,Mews Small
2785,Ralph Bakshi,Austin Stoker
2786,John Carpenter,Adrian Pasdar
2787,Kathryn Bigelow,Bill Paxton
2788,Carl Franklin,Richard Roundtree
2789,Gordon Parks,Gene Hackman
2790,Francis Ford Coppola,Jeff Bridges
2791,Ivan Passer,Kirk Douglas
2792,Brian De Palma,Timothy Bottoms
2793,James Bridges,Al Pacino
2794,Sidney Lumet,Kirk Douglas
2795,Billy Wilder,Kirk Douglas
2796,David Miller,Goldie Hawn
2797,Steven Spielberg,Miriam Hopkins
2798,Ernst Lubitsch,Kurt Russell
2799,John Carpenter,Martin Sheen
2800,Terrence Malick,Aleksandr Antonov
2801,Sergei M. Eisenstein,Freddie Prinze Jr.
2802,Robert Iscove,Samuel L. Jackson
2803,John Singleton,Matt Damon
2804,Don BluthGary Goldman,Manuel Lozano
2805,José Luis Cuerda,Billy Crudup
2806,Alison Maclean,Mel Gibson
2807,Peter LordNick Park,Jim Carrey
2808,Bobby FarrellyPeter Farrelly,Mel Gibson
2809,Roland Emmerich,Robert De Niro
2810,Des McAnuff,George Clooney
2811,Wolfgang Petersen,Uma Thurman
2812,James Ivory,Christopher Walken
2813,Philippe Mora,Evan C. Kim
2814,John Landis,Damian Chapa
2815,Taylor Hackford,Bryan Brown
2816,Robert Mandel,Bryan Brown
2817,Richard Franklin,Don Johnson
2818,Dennis Hopper,Chuck Norris
2819,Joseph Zito,Chuck Norris
2820,Lance Hool,Chuck Norris
2821,Aaron Norris,Clint Eastwood
2822,Michael Cimino,Dennis Quaid
2823,Joseph Ruben,John Phillip Law
2824,Gordon Hessler,Christopher Reid
2825,Reginald Hudlin,Christopher Reid
2826,George JacksonDoug McHenry,Clive Owen
2827,Mike Hodges,Bruce Willis
2828,Jon Turteltaub,Anna Faris
2829,Keenen Ivory Wayans,Natasha Lyonne
2830,Jamie Babbit,Jiayi Du
2831,Yang Zhang,David Hemmings
2832,Michelangelo Antonioni,Rod Steiger
2833,Sidney Lumet,Chris Ferreira
2834,Greg Harrison,Kevin Bacon
2835,Herbert Ross,Jennifer Jones
2836,King VidorOtto Brower(uncredited)William Dieterle(uncredited),Patrick Stewart
2837,Bryan Singer,Mike White
2838,Miguel Arteta,Molly Parker
2839,Jeremy Podeswa,Lori Heuring
2840,Mary Lambert,Harrison Ford
2841,Robert Zemeckis,Veronica Taylor
2842,Michael HaigneyKunihiko Yuyama,James Stewart
2843,Otto Preminger,Emilio Estevez
2844,Geoff Murphy,Gregory Peck
2845,J. Lee Thompson,Patrick Wayne
2846,Sam Wanamaker,Sophia Loren
2847,Vittorio De Sica,Bill Murray
2848,Frank Oz,Willem Dafoe
2849,Roger Donaldson,Edward Woodward
2850,Bruce Beresford,Woody Allen
2851,Woody Allen,Diane Keaton
2852,Woody Allen,Woody Allen
2853,Woody Allen,Norma Aleandro
2854,Luis Puenzo,Ken Watanabe
2855,Jûzô Itami,Eddie Murphy
2856,Peter Segal,Vanessa Paradis
2857,Patrice Leconte,Shirley Henderson
2858,Michael Winterbottom,Richard Gere
2859,Joan Chen,Piper Perabo
2860,David McNally,Kevin Bacon
2861,Paul Verhoeven,Clint Eastwood
2862,Clint Eastwood,Lauren Ambrose
2863,Robert Lee King,Brenda Blethyn
2864,Nigel Cole,Michèle Mercier
2865,Mario Bava,Jason Evers
2866,Joseph Green,Clint Eastwood
2867,Clint Eastwood,Cary Elwes
2868,Alan Shapiro,Clint Eastwood
2869,Brian G. Hutton,James Le Gros
2870,Don Coscarelli,Reggie Bannister
2871,Don Coscarelli,A. Michael Baldwin
2872,Don Coscarelli,Lance Henriksen
2873,Stan Winston,Mel Gibson
2874,Roger Spottiswoode,Felissa Rose
2875,Robert Hiltzik,Shirley MacLaine
2876,Herbert Ross,Brigitte Bardot
2877,Roger Vadim,Rodney Dangerfield
2878,James Signorelli,Dyanne Thorne
2879,Don Edmonds,Dorothy McGuire
2880,Robert Siodmak,Lionel Coleman
2881,Lionel Coleman,Donal Logue
2882,Jenniphr Goodman,Nathalie Baye
2883,Frédéric Fonteyne,Kim Basinger
2884,Chuck Russell,Melanie Griffith
2885,John Waters,RuPaul
2886,Fenton BaileyRandy Barbato,Keanu Reeves
2887,Howard Deutch,Stuart Townsend
2888,Gerard Stembridge,Jennifer Lopez
2889,Tarsem Singh,Takehiro Murata
2890,Takao Okawara,Steve Harvey
2891,Spike Lee,Leslie Nielsen
2892,David Zucker,Leslie Nielsen
2893,David Zucker,William Holden
2894,Sam Wood,Alan Ladd
2895,George Stevens,Elizabeth Taylor
2896,Joseph L. Mankiewicz,Jane Fonda
2897,Elliot Silverstein,Helen Slater
2898,Jeannot Szwarc,Wesley Snipes
2899,Christian Duguay,Kirsten Dunst
2900,Peyton Reed,Richard Dreyfuss
2901,Michael Dinner,Drew Barrymore
2902,Tamra Davis,Christopher Lambert
2903,Douglas Aarniokoski,Renée Zellweger
2904,Neil LaBute,María Galiana
2905,Benito Zambrano,James Spader
2906,Joe Charbanic,Ryan Phillippe
2907,Christopher McQuarrie,Billy Crudup
2908,Cameron Crowe,Jamie Foxx
2909,Antoine Fuqua,John Hannah
2910,Rob Walker,Monica Keena
2911,Rob Schmidt,Huey Lewis
2912,Bruce Paltrow,Morgan Freeman
2913,Stephen Hopkins,Jennifer Morrison
2914,John Ottman,Penélope Cruz
2915,Fina Torres,Björk
2916,Lars von Trier,Fred Willard
2917,Christopher Guest,Minnie Driver
2918,Sally Field,Timothy Olyphant
2919,Greg Berlanti,Michelle Rodriguez
2920,Karyn Kusama,Denzel Washington
2921,Boaz Yakin,Andrew Robinson
2922,Clive Barker,Doug Bradley
2923,Tony Randel,Terry Farrell
2924,Anthony Hickox,Otto Sander
2925,Wim Wenders,Frankie Avalon
2926,William Asher,John Lurie
2927,Jim Jarmusch,Walter Pidgeon
2928,Irwin Allen,Stephen Boyd
2929,Richard Fleischer,Bud Abbott
2930,Charles BartonWalter Lantz(animation sequences),W.C. Fields
2931,Edward F. Cline,Richard Carlson
2932,Jack Arnold,Claude Rains
2933,James Whale,James Best
2934,Ray Kellogg,Tom Selleck
2935,Michael Crichton,Michelle Michaels
2936,Amy Holden Jones,Crystal Bernard
2937,Deborah Navarra-Brock,Keely Christian
2938,Sally Mattison,Angela O'Neill
2939,Carol Frank,Gail Thackray
2940,Jim Wynorski,Damon Wayans
2941,Spike Lee,Lara Jill Miller
2942,Bob BuchholzMamoru HosodaJeff Nimoy,Sylvester Stallone
2943,Stephen Kay,Michael Caine
2944,Mike Hodges,Ben Stiller
2945,Jay Roach,Ellen Burstyn
2946,Darren Aronofsky,Colin Farrell
2947,Joel Schumacher,Michael Rispoli
2948,Raymond De Felitta,Joan Allen
2949,Rod Lurie,Richard Gere
2950,Robert Altman,Tim Meadows
2951,Reginald Hudlin,Tom Laughlin
2952,Tom Laughlin,Tom Laughlin
2953,Tom Laughlin,Rod Taylor
2954,George Pal,Damon Martin
2955,Albert Band,Debbie Reynolds
2956,Charles Walters,Bing Crosby
2957,James AlgarClyde GeronimiJack Kinney,Barbara Stanwyck
2958,Lewis Milestone,Tom Neal
2959,Edgar G. Ulmer,Jamie Bell
2960,Stephen Daldry,Brendan Fraser
2961,Harold Ramis,Kevin Spacey
2962,Mimi Leder,Tim Conway
2963,Lang Elliott,Jackie Chan
2964,Chia-Liang LiuJackie Chan(uncredited),Jeffrey Donovan
2965,Joe Berlinger,Jonathan Lipnicki
2966,Uli Edel,Cameron Diaz
2967,McG,Will Smith
2968,Robert Redford,Adam Sandler
2969,Steven Brill,Cuba Gooding Jr.
2970,George Tillman Jr.,Val Kilmer
2971,Antony Hoffman,Laura Linney
2972,Kenneth Lonergan,Sean Connery
2973,Guy Hamilton,Michael Caine
2974,John Sturges,Arnold Schwarzenegger
2975,Roger Spottiswoode,Ben Affleck
2976,Don Roos,Jim Carrey
2977,Ron Howard,Michael Douglas
2978,Kevin Macdonald,Christine Cavanaugh
2979,Stig BergqvistPaul Demeyer,Glenn Close
2980,Kevin Lima,Monica Bellucci
2981,Giuseppe Tornatore,Geoffrey Rush
2982,Philip Kaufman,Bruce Willis
2983,M. Night Shyamalan,Chow Yun-Fat
2984,Ang Lee,Justin Whalin
2985,Courtney Solomon,Meg Ryan
2986,Taylor Hackford,Scott Glenn
2987,Martin Campbell,Mel Gibson
2988,Roger Donaldson,Steve Martin
2989,John Hughes,Kevin Bacon
2990,John Hughes,Timothy Dalton
2991,John Glen,Orson Welles
2992,Nelson Shin,Charlie Sheen
2993,Oliver Stone,Tom Cruise
2994,Oliver Stone,Eric Bogosian
2995,Oliver Stone,Richard Pryor
2996,Walter Hill,Jason Statham
2997,Guy Ritchie,Sally Field
2998,David Seltzer,Juliette Binoche
2999,Lasse Hallström,Ashton Kutcher
3000,Danny Leiner,David Spade
3001,Mark Dindal,Ed Harris
3002,Ed Harris,Mel Gibson
3003,Nancy Meyers,Sean Connery
3004,Gus Van Sant,Cate Blanchett
3005,Sam Raimi,Javier Bardem
3006,Julian Schnabel,Tom Hanks
3007,Robert Zemeckis,Nicolas Cage
3008,Brett Ratner,Gillian Anderson
3009,Terence Davies,Sandra Bullock
3010,Donald Petrie,George Clooney
3011,Joel CoenEthan Coen(uncredited),Philip Seymour Hoffman
3012,David Mamet,Gerard Butler
3013,Patrick Lussier,Matt Damon
3014,Billy Bob Thornton,Barry McEvoy
3015,Barry Levinson,Kevin Costner
3016,Roger Donaldson,Michael Douglas
3017,Steven Soderbergh,Wes Bentley
3018,Michael Winterbottom,John Malkovich
3019,E. Elias Merhige,Lindsay Crouse
3020,David Mamet,Aileen Quinn
3021,John Huston,Christina Applegate
3022,Stephen Herek,Richard Gere
3023,Taylor Hackford,John Wayne
3024,John Wayne,Sean Penn
3025,James Foley,Gary Cooper
3026,William Wyler,Tom Berenger
3027,Ron Maxwell,Harald Maresch
3028,Fritz Böttger(US version),Ryan Phillippe
3029,Peter Howitt,Orlando Jones
3030,George Gallo,Julia Stiles
3031,Thomas Carter,William H. Macy
3032,Henry Bromell,Jack Nicholson
3033,Sean Penn,Sam Waterston
3034,Robert Mulligan,Annabeth Gish
3035,Donald Petrie,Meg Ryan
3036,Norman René,Pam Grier
3037,Jack Hill,Pam Grier
3038,Jack Hill,Keenen Ivory Wayans
3039,Keenen Ivory Wayans,Christian Slater
3040,Tony Bill,Marla Sokoloff
3041,Francine McDougall,Jennifer Lopez
3042,Adam Shankman,Bibiana Beglau
3043,Volker Schlöndorff,Laurent Lucas
3044,Dominik Moll,Jamie Lee Curtis
3045,Mike Newell,Rosanna Arquette
3046,"Joe Dante(segments The French Ventiloquist's Dummy"" [TV cut & DVD only], ""Hairlooming, Bullshit or Not, Critic's Corner, Roast Your Loved One, Reckless Youth)Carl Gottlieb(segments Peter Pan Theater"" [TV cut & DVD only], ""Pethouse Video, Son of the Invisible Man, Art Sale)Peter Horton(segment The Unknown Soldier"" [TV cut & DVD only] and ""Two I.D.'s)",Diane Keaton
3047,Charles Shyer,Frankie Avalon
3048,Lyndall Hobbs,Mickey Rourke
3049,Barbet Schroeder,James Woods
3050,John Flynn,Eddie Murphy
3051,Tony Scott,Eddie Murphy
3052,Martin Brest,Dennis Quaid
3053,Jim McBride,Cheech Marin
3054,Cheech Marin,Jon Lovitz
3055,Jerry Rees,Patrick Dempsey
3056,Steve Rash,Melanie Griffith
3057,Steve De Jarnatt,James Woods
3058,James B. Harris,Eddie Murphy
3059,Robert Townsend,Christian Bale
3060,Steven Spielberg,Jim Varney
3061,John R. Cherry III,Bruce Campbell
3062,Sam Raimi,Louise Fletcher
3063,Jeffrey Bloom,Michael Caine
3064,John Mackenzie,James Caan
3065,Francis Ford Coppola,Joanne Woodward
3066,Paul Newman,Jon Cryer
3067,Bob Giraldi,Robert Townsend
3068,Robert Townsend,Sarah Miles
3069,John Boorman,Dennis Quaid
3070,Joe Dante,Warren Beatty
3071,Elaine May,Lorraine Gary
3072,Joseph Sargent,Bill Cosby
3073,Paul Weiland,Andrew McCarthy
3074,Marek Kanievska,Dudley Moore
3075,Rod Daniel,Jason Patric
3076,Joel Schumacher,Timothy Hutton
3077,Alan Rudolph,Ally Sheedy
3078,Amy Holden Jones,John Malkovich
3079,Susan Seidelman,Andrew McCarthy
3080,Michael Gottlieb,Dolph Lundgren
3081,Gary Goddard,Andre Gower
3082,Fred Dekker,Scott Valentine
3083,Charlie Loventhal,Charlie Sheen
3084,Peter Werner,Monica Potter
3085,Mark Waters,Kirk Cameron
3086,Vic Sarin,Denise Richards
3087,Jamie Blanks,Tony Chiu-Wai Leung
3088,Kar-Wai Wong,Jeremy Davies
3089,Wim Wenders,Fernando Ramallo
3090,Cesc Gay,Anthony Hopkins
3091,Ridley Scott,Jason Biggs
3092,Dennis Dugan,Gérard Depardieu
3093,Roland Joffé,Chris Rock
3094,Chris WeitzPaul Weitz,Andrew Lawrence
3095,Chuck Sheetz,Keanu Reeves
3096,Pat O'Connor,Douglas McGrath
3097,Peter AskinDouglas McGrath,Danielle Cormack
3098,Harry Sinclair,Brendan Fraser
3099,Henry Selick,Kurt Russell
3100,Demian Lichtenstein,Juliette Binoche
3101,Patrice Leconte,Brad Pitt
3102,Gore Verbinski,Samuel L. Jackson
3103,Kasi Lemmons,Brooke Smith
3104,Daniel Minahan,Robert De Niro
3105,John Herzfeld,Kirsten Dunst
3106,Tommy O'Haver,Mary Burton
3107,Deborah HoffmannFrances Reid,Aidan Quinn
3108,Barry Levinson,Spalding Gray
3109,Steven Soderbergh,Lon Chaney Jr.
3110,Lewis Milestone,Linda Carol
3111,Tom DeSimone,John Cusack
3112,Bill Fishman,Cary Grant
3113,Henry Koster,Sidney Poitier
3114,Ralph Nelson,Max von Sydow
3115,George StevensDavid Lean(some scenes)Jean Negulesco(some scenes),Burt Lancaster
3116,Richard Brooks,Michael Caine
3117,Lewis Gilbert,Joel Grey
3118,Michael Ritchie,Wendy Hiller
3119,Michael PowellEmeric Pressburger,Vincent Price
3120,Robert Fuest,Dick Haynes
3121,Albert Brooks,George Peppard
3122,Jimmy T. MurakamiRoger Corman(uncredited),Jean-Claude Van Damme
3123,Sheldon Lettich,Burt Reynolds
3124,Richard A. Colla,Mickey Rourke
3125,Simon Wincer,Tom Cruise
3126,Curtis Hanson,Cher
3127,Richard Benjamin,Charlie Sheen
3128,Lewis Teague,William Petersen
3129,Michael Mann,Jeremy Irons
3130,Barbet Schroeder,Peter Ustinov
3131,John Guillermin,Robert Carradine
3132,Jeff Kanew,Robert Carradine
3133,Joe Roth,Maxine McNair
3134,Spike Lee,Crispin Glover
3135,Tim Hunter,Biff Yeager
3136,Alan Metter,Burt Reynolds
3137,Robert Aldrich,Scott Bakula
3138,Stan Dragoti,Jude Law
3139,Jean-Jacques Annaud,Steven Seagal
3140,Andrzej Bartkowiak,Sam Neill
3141,Rob Sitch,Guy Pearce
3142,Christopher Nolan,Sigourney Weaver
3143,David Mirkin,Chris Klein
3144,J.B. Rogers,Ashley Judd
3145,Tony Goldwyn,Alexa PenaVega
3146,Robert Rodriguez,Shannon Elizabeth
3147,Gregory Poirier,Pierce Brosnan
3148,John Boorman,Emilio Echevarría
3149,Alejandro G. Iñárritu,Tobias Schneebaum
3150,David ShapiroLaurie Gwen Shapiro,François Wertheimer
3151,Agnès Varda,Morgan Freeman
3152,Lee Tamahori,Johnny Depp
3153,Ted Demme,Jean Reno
3154,Jean-Marie Poiré,Veronica Taylor
3155,Kunihiko Yuyama,Rachel Weisz
3156,Bill Eagles,Richard Dutcher
3157,Richard Dutcher,Renée Zellweger
3158,Sharon Maguire,David Spade
3159,Dennie Gordon,Rachael Leigh Cook
3160,Harry ElfontDeborah Kaplan,Eric Bana
3161,Andrew Dominik,Maryiam Palvin Almani
3162,Jafar Panahi,Paul Hogan
3163,Simon Wincer,Tom Green
3164,Tom Green,Shane Edelman
3165,Wayne Wang,John Turturro
3166,Marleen Gorris,Obba Babatundé
3167,Jordan Walker-Pearlman,Al Pacino
3168,Brian De Palma,Jack Lemmon
3169,Blake Edwards,Sylvester Stallone
3170,Renny Harlin,Liv Tyler
3171,Harald Zwart,Warren Beatty
3172,Peter Chelsom,Brendan Fraser
3173,Stephen Sommers,Charlotte Rampling
3174,François Ozon,Ken Marshall
3175,Peter Yates,Albert Brooks
3176,Albert Brooks,Adolf Hitler
3177,Leni Riefenstahl,Robin Williams
3178,George Roy Hill,Martin Potter
3179,Federico Fellini,Elvis Presley
3180,Frederick De Cordova,Al Pacino
3181,Garry Marshall,Marcello Mastroianni
3182,Federico Fellini,Bette Midler
3183,Mark Rydell,Jane Fonda
3184,Colin Higgins,Sally Field
3185,Martin Ritt,John Candy
3186,Carl Reiner,Peter Lind Hayes
3187,Roy Rowland,Ali MacGraw
3188,Arthur Hiller,Pelle Hvenegaard
3189,Bille August,Jean Servais
3190,Jules Dassin,Heath Ledger
3191,Brian Helgeland,Pilar Padilla
3192,Ken Loach,Kaleil Isaza Tuzman
3193,Chris HegedusJehane Noujaim,Jennifer Lopez
3194,Luis Mandoki,Mike Myers
3195,Andrew AdamsonVicky Jenson,Anna Thomson
3196,Amos Kollek,Nicole Kidman
3197,Baz Luhrmann,Ben Affleck
3198,Michael Bay,Thilen Lhondup
3199,Eric ValliMichel Debats(collaborating director),Christina Ricci
3200,Sally Potter,Lynn-Holly Johnson
3201,Donald Wrye,Tate Donovan
3202,Dale Launer,Billy Crystal
3203,Ron Underwood,John Cusack
3204,John Sayles,John Wayne
3205,John Ford,Jeanne Moreau
3206,Michelangelo Antonioni,Gene Hackman
3207,Alan Parker,Yul Brynner
3208,John Sturges,John Wayne
3209,Howard Hawks,Danny DeVito
3210,Danny DeVito,Nien-Jen Wu
3211,Edward Yang,Steve McQueen
3212,Robert Wise,Gregory Peck
3213,Henry King,Frank Sinatra
3214,Mark Robson,Rob Schneider
3215,Luke Greenfield,Arye Gross
3216,Thomas Bezucha,David Duchovny
3217,Ivan Reitman,John Travolta
3218,Dominic Sena,Alan Cumming
3219,Alan CummingJennifer Jason Leigh,Bolek Polívka
3220,Jan Hrebejk,Alan Arkin
3221,Mike Nichols,Peter Jackson
3222,Costa BotesPeter Jackson,Patrick Swayze
3223,Kathryn Bigelow,Gene Hackman
3224,Ted Kotcheff,Kurt Russell
3225,Jonathan Kaplan,Rob Lowe
3226,Peter Markle,Jane Russell
3227,Howard Hawks,Marilyn Monroe
3228,Jean Negulesco,Marilyn Monroe
3229,Billy Wilder,Dustin Hoffman
3230,Sydney Pollack,Michael J. Fox
3231,Gary TrousdaleKirk Wise,Angelina Jolie
3232,Simon West,Eddie Murphy
3233,Steve Carr,Vin Diesel
3234,Rob Cohen,Haley Joel Osment
3235,Steven Spielberg,Alexsandra Wright
3236,John Singleton,Kirsten Dunst
3237,John Stockwell,Chris Rock
3238,Louis C.K.,Kipp Marcus
3239,Adam Marcus,Ray Winstone
3240,Jonathan Glazer,Franka Potente
3241,Tom Tykwer,Daniel Auteuil
3242,Francis Veber,Jean Reno
3243,Mathieu Kassovitz,Eriq Ebouaney
3244,Raoul Peck,Alec Baldwin
3245,Lawrence Guterman,Jet Li
3246,Chris Nahon,Anna Faris
3247,Keenen Ivory Wayans,Piper Perabo
3248,Léa Pool,Raffaëla Anderson
3249,Virginie DespentesCoralie,Mia Farrow
3250,Woody Allen,Gena Rowlands
3251,Woody Allen,Frankie Avalon
3252,William Asher,Vittorio Gassman
3253,Mario Monicelli,Burt Reynolds
3254,Hal Needham,Burt Reynolds
3255,Hal NeedhamRalph Bakshi(animation director),Jeanne Moreau
3256,Luis Buñuel,Vincent Price
3257,Norman TaurogIshirô Honda(earlier film clips),Vincent Price
3258,Roger Corman,Gösta Ekman
3259,F.W. Murnau,James Stewart
3260,John Ford,James Woods
3261,Oliver Stone,Elaine Stritch
3262,Woody Allen,Woody Allen
3263,Woody Allen,Jeff Daniels
3264,Jonathan Demme,Roosevelt Grier
3265,Lee Frost,Jane Wyman
3266,Douglas Sirk,Humphrey Bogart
3267,Joseph L. Mankiewicz,Harriet Andersson
3268,Ingmar Bergman,Dominique Sanda
3269,Vittorio De Sica,Ralph Meeker
3270,Robert Aldrich,Peter O'Toole
3271,Anthony Harvey,Clark Gable
3272,John Huston,Gregory Peck
3273,John Huston,Burt Lancaster
3274,Alexander Mackendrick,Rock Hudson
3275,Douglas Sirk,Marcello Mastroianni
3276,Elio Petri,Cliff Robertson
3277,Brian De Palma,Jessica Harper
3278,Dario Argento,Bruce Lee
3279,Wei Lo,Natja Brunckhorst
3280,Uli Edel,Bruce Lee
3281,Wei LoChia-Hsiang Wu(uncredited),Bruce Lee
3282,Robert ClouseBruce Lee(uncredited),Taimak
3283,Michael Schultz,Sean Connery
3284,Peter Hyams,Bruce Lee
3285,Bruce Lee,Peter Horton
3286,Brett Leonard,Alec Baldwin
3287,Hironobu SakaguchiMotonori Sakakibara,Reese Witherspoon
3288,Robert Luketic,Robert De Niro
3289,Frank Oz,Rasmané Ouédraogo
3290,Roger Gnoan M'Bala,Brad Renfro
3291,Larry Clark,Tunde Adebimpe
3292,Joel Hopkins,Vince Vaughn
3293,Jon Favreau,Michael Jordan
3294,Don KempfJames D. Stern,N/A
3295,Mark Osborne,George Casey
3296,N/A,George Casey
3297,George Casey,Charlie Schlatter
3298,George Casey,Robert Downey Jr.
3299,Paul Flaherty,William Hurt
3300,Ernest Thompson,Kelly McGillis
3301,Lawrence Kasdan,Steven Seagal
3302,Jonathan Kaplan,John Neville
3303,Andrew Davis,Turo Pajala
3304,Terry Gilliam,Dudley Moore
3305,Aki Kaurismäki,Gene Hackman
3306,Bud Yorkin,Bette Midler
3307,Peter Markle,George Dzundza
3308,Garry Marshall,Bette Midler
3309,Kevin Reynolds,Paul Reubens
3310,Jim Abrahams,Matthew Broderick
3311,Randal Kleiser,Shawnee Smith
3312,Mike Nichols,Michael J. Fox
3313,Chuck Russell,Jackie Mason
3314,James Bridges,Isabelle Adjani
3315,Allan Arkush,Tom Cruise
3316,Bruno Nuytten,Sean Penn
3317,Roger Donaldson,Eddie Murphy
3318,Dennis Hopper,Dan Aykroyd
3319,John Landis,Dee Wallace
3320,Michael Ritchie,Amy Irving
3321,Stephen Herek,Dennis Quaid
3322,Joan Micklin Silver,Treat Williams
3323,Annabel JankelRocky Morton,Clint Eastwood
3324,Mark Goldblatt,Steve Martin
3325,Buddy Van Horn,Bernard Hill
3326,Frank Oz,Jim Varney
3327,Peter Greenaway,Rebecca De Mornay
3328,John R. Cherry III,Molly Ringwald
3329,Daniel Goldberg,Harrison Ford
3330,John G. Avildsen,Sigourney Weaver
3331,Roman Polanski,Dan Aykroyd
3332,Michael Apted,Peter O'Toole
3333,Howard Deutch,Anthony Michael Hall
3334,Neil Jordan,Lukas Haas
3335,Bud S. Smith,Amanda Donohoe
3336,Frank LaLoggia,Pat Hingle
3337,Ken Russell,Corey Haim
3338,Don Bluth,Sidney Poitier
3339,Greg Beeman,Rob Lowe
3340,Richard Benjamin,Rubén Blades
3341,Bob Swaim,Richard Dreyfuss
3342,Robert Redford,Dan Aykroyd
3343,Paul Mazursky,River Phoenix
3344,Richard Benjamin,Marianne Sägebrecht
3345,William Richert,Arnold Schwarzenegger
3346,Percy Adlon,Clu Gulager
3347,Walter Hill,Tom Burlinson
3348,Dan O'Bannon,Kirk Douglas
3349,Geoff Burrowes,River Phoenix
3350,George Miller,Bill Pullman
3351,Sidney Lumet,Fisher Stevens
3352,Wes Craven,Ally Sheedy
3353,Kenneth Johnson,Bernard-Pierre Donnadieu
3354,John Badham,Tomorô Taguchi
3355,George Sluizer,Roddy Piper
3356,Shin'ya Tsukamoto,Jeff Bridges
3357,John Carpenter,Arnold Schwarzenegger
3358,Francis Ford Coppola,Michael Caine
3359,Ivan Reitman,Yahoo Serious
3360,Thom Eberhardt,Richard Dreyfuss
3361,Yahoo Serious,Michael Dudikoff
3362,Steven Spielberg,Eric Roberts
3363,Sam Firstenberg,Keanu Reeves
3364,Robert Radler,Michael Douglas
3365,Stephen Herek,Paul Newman
3366,Ridley Scott,Rutger Hauer
3367,Ron Shelton,Michael J. Fox
3368,Phillip Noyce,Cybill Shepherd
